ParentLocation,SpatialDimValueCode,Location,Period,Sex,Dim1ValueCode,OverweightRate,OverweightRate_Lower,OverweightRate_Upper,Value
Western Pacific,JPN,Japan,2009,Female,SEX_FMLE,15.62,14.9,16.34,15.6 [14.9-16.3]
Western Pacific,JPN,Japan,2008,Male,SEX_MLE,26.81,25.78,27.83,26.8 [25.8-27.8]
Western Pacific,JPN,Japan,2008,Female,SEX_FMLE,15.7,14.98,16.43,15.7 [15.0-16.4]
Western Pacific,JPN,Japan,2007,Male,SEX_MLE,26.52,25.51,27.54,26.5 [25.5-27.5]
Western Pacific,JPN,Japan,2007,Female,SEX_FMLE,15.79,15.08,16.53,15.8 [15.1-16.5]
Western Pacific,JPN,Japan,2006,Male,SEX_MLE,26.22,25.21,27.22,26.2 [25.2-27.2]
Western Pacific,JPN,Japan,2006,Female,SEX_FMLE,15.9,15.18,16.63,15.9 [15.2-16.6]
Western Pacific,JPN,Japan,2005,Male,SEX_MLE,25.9,24.92,26.9,25.9 [24.9-26.9]
Western Pacific,JPN,Japan,2005,Female,SEX_FMLE,16.01,15.28,16.74,16.0 [15.3-16.7]
Western Pacific,JPN,Japan,2004,Male,SEX_MLE,25.57,24.6,26.55,25.6 [24.6-26.6]
Western Pacific,JPN,Japan,2004,Female,SEX_FMLE,16.13,15.4,16.86,16.1 [15.4-16.9]
Western Pacific,JPN,Japan,2003,Male,SEX_MLE,25.23,24.27,26.21,25.2 [24.3-26.2]
Western Pacific,JPN,Japan,2003,Female,SEX_FMLE,16.26,15.53,16.99,16.3 [15.5-17.0]
Western Pacific,JPN,Japan,2002,Male,SEX_MLE,24.87,23.91,25.84,24.9 [23.9-25.8]
Western Pacific,JPN,Japan,2002,Female,SEX_FMLE,16.39,15.66,17.11,16.4 [15.7-17.1]
Western Pacific,JPN,Japan,2001,Male,SEX_MLE,24.5,23.56,25.46,24.5 [23.6-25.5]
Western Pacific,JPN,Japan,2001,Female,SEX_FMLE,16.51,15.78,17.23,16.5 [15.8-17.2]
Western Pacific,JPN,Japan,2000,Male,SEX_MLE,24.12,23.2,25.05,24.1 [23.2-25.1]
Western Pacific,JPN,Japan,2000,Female,SEX_FMLE,16.62,15.91,17.34,16.6 [15.9-17.3]
